Rank,Name,Assoc,Points
370,CHIANG Hung-Chieh,TPE,540
371,Viktor YEFIMOV,UKR,539
372,Snehit SURAVAJJULA,IND,537
373,Hector GATICA,GUA,534
374,ZHANG Yudong,CHN,534
375,Dimitrije LEVAJAC,SRB,528
376,Aidos KENZHIGULOV,KAZ,528
377,KIM Song Il,PRK,528
378,Simon ARVIDSSON,SWE,522
379,YUAN Licen,CHN,519
380,Valentin PIERAERT,BEL,516
381,Naif AL-JADAI,KSA,511
382,Jeet CHANDRA,IND,510
383,Domingos MANUEL,ANG,510
384,Ronan AUBRY,NCL,504
385,Olav KOSOLOSKY,BEL,504
386,Matteo MUTTI,ITA,504
387,Bekulan ZHAMAL,KAZ,504
388,CHEONG Chi Cheng,MAC,501
389,Santiago OSORIO,PAR,501
390,Stanislav GOLOVANOV,BUL,501
391,CHUA Josh Shao Han,SGP,497
392,Edward LY,CAN,495
393,Siddhesh PANDE,IND,494
394,Mikael JOEL,ERI,492
395,Soudes ALASSANI,TOG,492
396,LEONG Chee Feng,MAS,489
397,Matthew LEHMANN,CAN,489
398,Santoo SHRESTHA,NEP,486
399,Alfred DELA PENA,NZL,483
400,Terrence MATHOLE,RSA,483
401,Theo COGILL,RSA,483
402,Jan MEDINA,VEN,481
403,Christian MBONGIA,COD,474
404,Salah ALBALUSHI,UAE,471
405,Joan MASIP,ESP,471
406,Gilles MICHELY,LUX,465
407,Sushmit SRIRAM,IND,462
408,Jo YOKOTANI,JPN,459
409,Adrian WETZEL,NOR,459
410,Imesh RANASINGHA,SRI,459
411,Mohamad HAMIE,LBN,459
412,CHOI Deokhwa,KOR,456
413,Rohan SIRISENA,SRI,454
414,Derek ABREFA,GHA,450
415,Richard GONZALES,PHI,450
416,BEH Kun Ting,SGP,449
417,Jonathan NATIVEL,MAD,447
418,Denis ZHOLUDEV,KAZ,446
419,Mohamed Sofiene BOUDJADJA,ALG,444
420,Adrian CRISAN,ROU,444
421,Thibaut DARCIS,BEL,441
422,Anton LIMONOV,UKR,440
423,Terence YEUNG,CAN,438
424,Rimas LESIV,LTU,438
425,Ye TIAN ,USA,438
426,Tomislav KOLAREK,CRO,435
427,Bydhir CARNET,PYF,432
428,XIA Yizheng,CHN,432
429,Alize BELROSE,PYF,432
430,Stephen RAVONISON,MAD,432
431,Tibor SPANIK,SVK,431
432,Faizan ZAHOOR,PAK,426
433,Alin SPELBUS,ROU,426
434,Abdulla ALBALOOSHI,UAE,423
435,Miad LOTFIJANABADI,IRI,420
436,Bogdan SINGEORZAN,ROU,414
437,Tobi FALANA,NGR,414
438,Kanate ALI,CIV,414
439,Mishel LEVINSKI,USA,408
440,Andy BRINGAUD,GAB,405
441,LU  Kaiyang,CHN,405
442,Benno OEHME,GER,402
443,SAI Linwei,CHN,402
444,RO Hyon Song,PRK,399
445,Romain RUIZ,FRA,396
446,Rodrigo TAPIA,ECU,393
447,Giorgos KONSTANTINOPOULOS,GRE,390
448,Paul MLADIN,ROU,387
449,Kerem BEN YAHIA,TUN,387
450,Heber MOSCOSO,GUA,386
451,Lorencio LUPULESKU,SRB,381
452,Borgar HAUG,NOR,379
453,Diego PIGUAVE,ECU,375
454,Filip RADOVIC,MNE,375
455,Chris DINGANGA,COD,375
456,BAEK Kwangil,KOR,372
457,Rafanael Nikola NIMAN,INA,369
458,RI Kwang Myong,PRK,369
459,Tilen CVETKO,SLO,366
460,PAK Sin Hyok,PRK,366
461,Abdulaziz AL-ABBAD,KSA,366
462,Pablo TABACHNIK,ARG,366
463,Shogo TAHARA,JPN,363
464,Manush Utpalbhai SHAH,IND,362
465,Gleb SHAMRUK,BLR,362
466,Alberto LILLO,ESP,361
467,Philip WING,FIJ,360
468,Shuainan CHEN ,ITA,357
469,Konstantinos KONSTANTINOPOULOS,GRE,351
470,Alfredas UDRA,LTU,351
471,Dauud CHEAIB,LBN,351
472,TAI Ming-Wei,TPE,348
473,Fumiya IGARASHI,JPN,348
474,Petr FEDOTOV,RUS,348
475,Mattia BERARDI,SMR,348
476,Christian NTUMBA NGELEKA,COD,348
477,Sora MATSUSHIMA,JPN,345
478,KOH Dominic Song Jun,SGP,345
479,Artur GRELA,POL,345
480,LAI Chi-Chien,TPE,345
481,Abiodun LAWAL,CGO,345
482,Thomas KEINATH,SVK,345
483,Mathan SIMON,ISR,342
484,Jose Antonio YOU PERDOMO,HON,342
485,Taiwo MATI,NGR,339
486,Florin SPELBUS,ROU,339
487,Ivan NIKULIN,RUS,339
488,YANG Tzu-Yi,TPE,339
489,Mohamed LAZAZI,ALG,339
490,Kirill FADEEV,GER,336
491,Maciej KUBIK,POL,332
492,Yanapong PANAGITGUN,THA,330
493,Jann Mari NAYRE,PHI,330
494,Cazuo MATSUMOTO,BRA,330
495,Rodrigo HIDALGO,PER,327
496,Ronit BHANJA,IND,327
497,Livan MARTINEZ,CUB,327
498,Sudhanshu GROVER,IND,326
499,Elmurod KHOLIKOV,UZB,326
500,Diego ORANTES,ESA,325
501,Mohamed SHOUMAN,EGY,324
502,Ange-Aime KOUASSI,CIV,324
503,Japheth ADASA,PHI,324
504,Mohamed SALEH,BRN,321
505,Jan ZIBRAT,SLO,321
506,Liang QIU,GER,315
507,Hamidou SOW,SEN,315
508,PARK Gyeongtae,KOR,312
509,Atarou ASSOU,TOG,312
510,Ahmed DJAMAL,DJI,312
511,Tekle EFREM,ERI,312
512,Jason PONTOISE,MRI,312
513,Otto TENNILA,FIN,311
514,Thameur MAMIA,TUN,309
515,Danila TRAVIN,RUS,308
516,Munkhzorig JARGALSAIKHAN,MGL,306
517,Kenta TAZOE,JPN,306
518,Akhilen YOGARAJAH,MRI,306
519,Donny AJI,INA,306
520,Allan ARNACHELLUM,MRI,306
521,Rashid AHMEDOV,TKM,306
522,Afshin NOROOZI,IRI,300
523,GAO Ning,SGP,300
524,Matthew DAISH,ENG,297
525,Marzooq ALRASHIDI,KUW,297
526,Karim ELHAKEM,EGY,297
527,Jaber AL-BALHAN,KUW,297
528,Abdyljan AITAHUNOV,KGZ,297
529,Daniel GORAK,POL,297
530,Dorian GIROD,SUI,293
531,Simon BERGLUND,SWE,291
532,Vladislav URSU,MDA,288
533,Tomasz KOTOWSKI,POL,288
534,Ham LULU,VAN,288
535,YU Heyi,CHN,285
536,Mattias MONGIUSTI,SMR,281
537,Birdie BORO,IND,279
538,Gabriele PICIULIN,ITA,276
539,Ismaila AKINDIYA,NGR,276
540,Maksim GREBNEV,RUS,273
541,Nicolas DEGROS,BEL,273
542,Tommy XU,CAN,273
543,Nikita ARTEMENKO,RUS,273
544,Konrad KULPA,POL,273
545,Felix LARTEY,GHA,273
546,Victor LIU,USA,270
547,KIM Byunghyeon,KOR,270
548,Kenji HOTAN,PYF,270
549,HUANG Yu-Jen,TPE,267
550,Syed Obaid SHAH,PAK,267
551,Khaled KHADER,JOR,267
552,Francisco SANCHI,ARG,267
553,CHEONG Chi Chon,MAC,267
554,Exauce NGEFUASSA,COD,264
555,JI YU Yong,PRK,264
556,LIU Yebo,CHN,264
557,CHAE U Min,PRK,264
558,U Tae Ryong,PRK,264
559,CAO Wei,CHN,264
560,Kenji MATSUDAIRA,JPN,264
561,Martin Buch ANDERSEN,DEN,261
562,Samuel MABEY,ENG,261
563,Timur KELBUGANOV,KAZ,261
564,Bryan BLAS,PER,261
